Placement,"Device platform",Reach,Impressions,Frequency,"Result type",Results,"Cost per result","Amount spent (USD)","CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Reporting starts","Reporting ends"
feed,mobile_app,88961,142901,1.60633311,,,,3708.02334069,25.94819729,3053,1.21455072,2.13644411,2021-10-04,2021-11-03
feed,desktop,10816,18326,1.69434172,,,,958.34782052,52.29443526,429,2.233911,2.34093637,2021-10-04,2021-11-03
feed,mobile_web,3808,6485,1.7029937,,,,192.88144754,29.74270587,141,1.36795353,2.17424827,2021-10-04,2021-11-03
video_feeds,mobile_app,1728,2218,1.28356481,,,,31.44697525,14.17807721,51,0.61660736,2.2993688,2021-10-04,2021-11-03
right_hand_column,desktop,12832,26649,2.07676122,,,,24.40765233,0.91589374,23,1.06120228,0.08630718,2021-10-04,2021-11-03
marketplace,mobile_app,4608,5677,1.23198785,,,,22.03788027,3.88195883,74,0.29780919,1.30350537,2021-10-04,2021-11-03
instagram_stories,mobile_app,800,1023,1.27875,,,,16.80838327,16.43048218,11,1.52803484,1.07526882,2021-10-04,2021-11-03
an_classic,mobile_app,704,870,1.23579545,,,,16.76838712,19.27400818,9,1.86315412,1.03448276,2021-10-04,2021-11-03
instagram_explore,mobile_app,416,698,1.67788462,,,,4.77954028,6.84747891,2,2.38977014,0.28653295,2021-10-04,2021-11-03
facebook_stories,mobile_app,96,105,1.09375,,,,3.23968839,30.85417512,,,,2021-10-04,2021-11-03
marketplace,desktop,1344,1947,1.44866071,,,,2.88972205,1.48419212,17,0.16998365,0.87313816,2021-10-04,2021-11-03
instant_article,mobile_app,320,553,1.728125,,,,2.45976341,4.44803509,3,0.81992114,0.54249548,2021-10-04,2021-11-03
instream_video,mobile_app,94,94,1,,,,2.27978072,24.25298636,2,1.13989036,2.12765957,2021-10-04,2021-11-03
search,mobile_app,379,379,1,,,,1.57984804,4.16846449,2,0.78992402,0.52770449,2021-10-04,2021-11-03
unknown,unknown,146,146,1,,,,1.05989805,7.2595757,1,1.05989805,0.68493151,2021-10-04,2021-11-03
search,desktop,64,82,1.28125,,,,0.43995768,5.36533759,1,0.43995768,1.2195122,2021-10-04,2021-11-03
rewarded_video,mobile_app,0,5,0,,,,0.32996826,65.99365235,,,,2021-10-04,2021-11-03
facebook_groups_feed,mobile_app,8,8,1,,,,0.31996922,39.99615294,2,0.15998461,25,2021-10-04,2021-11-03
messenger_inbox,mobile_app,0,30,0,,,,0.1299875,4.33291657,,,,2021-10-04,2021-11-03
instream_video,desktop,8,8,1,,,,0.09999038,12.49879779,,,,2021-10-04,2021-11-03
rewarded_video,desktop,0,2,0,,,,0.00999904,4.99951912,,,,2021-10-04,2021-11-03
an_classic,desktop,0,1,0,,,,0,0,,,,2021-10-04,2021-11-03
