"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Impressions,Reach,Shares,Plays,Likes,Comments,Saves,Follows
17948537413523607,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","S E P T E M B E R  1 7  T H 
O F F I C I A L  O P E N I N G  D A T E 
🌟🌟🌟
C L A S S I Q U E  C O L L E C T I O N 

We have heard from many of you that you want a Collection that is between our Petite and Petite Grand Collections. 
Something that is more affordable than our Petite Grands, yet higher end than our Petites. So we have been working hard to create our Classique Collection. 
Elegant, light and unique - we cant wait to show it all to you!

#dancinginmoonlight #newcollection #transformingartintolove #finearts #lifestyle #interiordesign #culture #artist #decrotivearts #3Dart #uniqueart #glass #painting #artoftheday #gift #artist #instaart #israeliart #familystudio #artlover #artistlife #createeveryday #homedecor #acrylics #specialgift #customizedgift #familyart #studio #popularculture #newproducts",0,"08/31/2021 03:08",https://www.instagram.com/p/CTPBazHD_nd/,"IG image",,Lifetime,145,138,2,,37,2,4,
17894908934365434,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","A new Petite in the works! 

We have recieved so many request to have a painting of Kever Rachel (the grave of Rachel), a very meaningful spiritual place for many people. A place for them to be held by motherly love. 

DM us or leave a comment if there is a painting or image you are waiting for! Your requests matter to us ❤

#holyplace #transformingartintolove #finearts #lifestyle #interiordesign #culture #artist #decrotivearts #3Dart #uniqueart #glass #painting #artoftheday #gift #artist #instaart #israeliart #familystudio #artlover #artistlife #createeveryday #homedecor #acrylics #specialgift #customizedgift #familyart #studio #popularculture #newproducts",15,"09/29/2021 05:09",https://www.instagram.com/reel/CUZ8vRHolIG/,"IG reel",,Lifetime,993,955,3,3095,156,6,21,1
17968969834444339,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Petite and Minis ready at the Bezalel Fair in Jerusalem! Come say hi! 

#weekendfair #transformingartintolove #finearts #lifestyle #interiordesign #culture #artist #decrotivearts #3Dart #uniqueart #glass #painting #artoftheday #gift #artist #instaart #israeliart #familystudio #artlover #artistlife #createeveryday #homedecor #acrylics #specialgift #customizedgift #familyart #studio #popularculture #newproducts",7,"09/24/2021 00:09",https://www.instagram.com/reel/CUMgFnVIEnP/,"IG reel",,Lifetime,874,837,0,2391,73,1,9,
17886102737343458,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","🌟🌟🌟It's here!🌟🌟🌟
Our new Classique Collection! 

We have waited so long and worked so hard to get this ready for you! 
Larger than the Petite Collection, but more affordable than our Gallery Edition! 

The Classique Collection is characterized by white space that creates a sense of open lightness. 

Enjoy ❤

#newcollection #classique #transformingartintolove #finearts #lifestyle #interiordesign #culture #artist #decrotivearts #3Dart #uniqueart #glass #painting #artoftheday #gift #artist #instaart #israeliart #familystudio #artlover #artistlife #createeveryday #homedecor #acrylics #specialgift #customizedgift #familyart #studio #popularculture #newproducts",0,"09/18/2021 11:09",https://www.instagram.com/p/CT-UKu8IbBj/,"IG image",,Lifetime,98,95,0,,36,2,1,
