"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Impressions,Reach,Shares,Follows,Likes,Comments,Saves,Plays
18032662928078300,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","🎨✨ Step into the sacred narrative of ‘The Tenth Man’ by Jean Pierre Weill! Nine nine gather, waiting for the tenth to complete the quorum.

Through artful use of reflective glass, this 3D masterpiece invites you to step inside the synagogue, becoming the tenth and experiencing the magic of collective prayer.",41,"07/01/2024 13:07",https://www.instagram.com/reel/C85I1PaPmdi/,"IG reel",,Lifetime,68569,63265,326,40,6142,229,665,96499
17918975921979688,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Just a typical Friday at our studio 🎨✨ How does your Friday look?",5,"09/27/2024 11:09",https://www.instagram.com/reel/DAbkBntRVtZ/,"IG reel",,Lifetime,8382,7667,6,,253,10,19,
17913096498005415,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","✨ May this year bring a sense of closeness and warm support, just like the feeling of this beautiful piece! 🎨 Bursting with sweetness and traditional symbolic blessings, it’s the perfect hug to send to your loved ones. 🍯💖 

Buy now at jeanpierreweill.com!",11,"09/25/2024 10:09",https://www.instagram.com/reel/DAWUIoavh7_/,"IG reel",,Lifetime,6041,5514,5,1,197,3,16,
18015426623561281,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","100 problems? Watch them vanish with each brushstroke. 🎨✨",17,"09/24/2024 11:09",https://www.instagram.com/reel/DATymkGxQ09/,"IG reel",,Lifetime,14579,13643,30,1,562,27,62,
18120548467384132,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Can you help the cat find its perfect spot? 🐱✨ Tap and hold to move it around in Open Birdcage! 

Step into this cozy home where the cat lounges on the radiator and watch the birds flutter across the way. Our unique 3D technique brings new depth to this serene scene. 

Visit our website at jeanpierreweill.com for more and remember we ship internationally.",6,"09/19/2024 11:09",https://www.instagram.com/reel/DAG9PKuPcIC/,"IG reel",,Lifetime,17613,16726,32,2,460,10,21,
18080667808515502,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Colors speak louder than words. 🎨✨",14,"09/17/2024 10:09",https://www.instagram.com/reel/DABs-TOv3m4/,"IG reel",,Lifetime,17334,15688,13,2,408,11,47,
18268640050223380,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Jean Pierre Weill’s Ballerinas perfectly captures the grace and elegance of dance, and for a limited time, you can bring it home for 45% off—just $289! 🩰

✨ Whether you’re adding to your collection or gifting it to a fellow ballet lover, this piece will elevate any space. And yes, we ship internationally! 🌍 

Don’t miss out on this exclusive offer—visit our website at jeanpierreweill.com to get yours now.",21,"09/16/2024 16:09",https://www.instagram.com/reel/C__vnL-td5s/,"IG reel",,Lifetime,13258,12156,40,4,1063,23,98,
18052385266867679,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Episode 1: Welcome to the Studio 🎨✨ 

Stay tuned for more glimpses of our day to day! 🖌️💫",34,"09/12/2024 13:09",https://www.instagram.com/reel/C_1MU94Ptbc/,"IG reel",,Lifetime,10156,9292,9,1,361,10,26,
18106152388418634,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Nose to Nose is a standout in our collection, and there’s only one of these breathtaking paintings in the studio. 🐴 

Experience the thrill of the race with every vibrant splash of color and dynamic line. Feel the adrenaline as riders and horses push their limits, galloping nose-to-nose toward the finish line. 🏁🐎

Shop now at jeanpierreweill.com 🛒🌎",29,"09/11/2024 12:09",https://www.instagram.com/reel/C_yb4aRv4Gt/,"IG reel",,Lifetime,36317,33015,144,16,3041,79,265,
18020541749434470,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Who knew paintbrushes and glass could be this satisfying? 🎨🖌️",18,"09/09/2024 08:09",https://www.instagram.com/reel/C_s43n7x-nG/,"IG reel",,Lifetime,11940,10983,1,2,114,1,8,
18052767907687513,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","🌟 For a limited time, our Classique Collection by Jean Pierre Weill is available at a special price—save $241 USD!

Each framed painting, measuring 20 x 16 x 2 inches, is now just $289 USD (originally $530). Plus, you get free expedited shipping worldwide! 🖼️

Don’t miss out—this offer is automatically applied at checkout and ends September 30th.

Shop now at jeanpierreweill.com and let the magic happen. ✨",21,"09/05/2024 12:09",https://www.instagram.com/reel/C_jBRyHvbXh/,"IG reel",,Lifetime,16865,15296,71,6,1454,37,188,
17899447823964264,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Embracing the cringe, one video at a time. 😆 
We love being able to connect with you 💕 🎨",6,"09/04/2024 06:09",https://www.instagram.com/reel/C_f1-jTRXU9/,"IG reel",,Lifetime,11727,11279,1,,316,24,12,
17875368960140984,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Hey, art lovers! 💃🕺 Here’s a little dancey dance to brighten your feed. Help us reach art enthusiasts around the world! 🌍 

Comment with your country’s flag and let’s spread the love. Remember, we ship internationally! Explore more at jeanpierreweill.com ✨",15,"09/03/2024 07:09",https://www.instagram.com/reel/C_dWzR0xElX/,"IG reel",,Lifetime,19362,18097,42,6,1714,75,143,
18031174253231897,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","🌙✨ ‘Promenade’ captures a moment that feels like forever.

Give the gift of art to those you love the most—let it speak the words we sometimes can’t. 🎨

💕 Shipping is free! Visit our website: jeanpierreweill.com",20,"08/30/2024 14:08",https://www.instagram.com/reel/C_T0C1vPYQW/,"IG reel",,Lifetime,7192,6884,14,,357,9,44,
18030501719225250,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Add a personal touch to your art! 🎨✨ In our Mini Collection, customize your piece for just +$10, while the Petite Collection includes FREE handwritten personalization (up to 10 characters). Make it uniquely yours with Jean Pierre Weill. 🖋️❤️ 

Any questions? Reach out to our DMs and visit jeanpierreweill.com. We ship art worldwide! 🌍",17,"08/27/2024 10:08",https://www.instagram.com/reel/C_LoB6yxOgL/,"IG reel",,Lifetime,7599,7438,12,,369,16,44,
18112621564401149,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","There’s nothing quite like it. Each glance reveals something new, with hidden messages waiting to be discovered. ✨ 

 Visit jeanpierreweill.com to explore more. We ship internationally! 🌍",29,"08/26/2024 14:08",https://www.instagram.com/reel/C_JdwQhv7fG/,"IG reel",,Lifetime,6848,6206,8,1,382,16,36,
18054464137697784,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Jumping on the trend with a touch of art-very demure, very mindful, very Jean Pierre Weill. 🎨🪄✨

#demure #verydemure #verymindful",9,"08/23/2024 12:08",https://www.instagram.com/reel/C_Bj__mP94E/,"IG reel",,Lifetime,25331,23696,58,9,1265,29,152,
18238516948278657,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Some moments from the studio. 🎨✨ Visit jeanpierreweill.com to explore more captivating art!",32,"08/22/2024 09:08",https://www.instagram.com/reel/C--m7U7xQCH/,"IG reel",,Lifetime,45637,42726,27,5,969,12,142,
18061231267649267,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Feyre came to visit yesterday. She loved the “Wonder” piece. 

Shop our paintings at jeanpiereweill.com

#acotar
#velaris
#rhysand 
#sarahjmaas
#feyre
#feyrearcheron 
#acomaf 
#nightcourt",24,"08/20/2024 12:08",https://www.instagram.com/reel/C-53R_BPaqz/,"IG reel",,Lifetime,19675,18067,70,7,1565,69,170,
18042322921812565,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Get yourself art! 🎨✨ Let this beautiful dove carry the promise of peace and hope into your space. 🕊️💙",19,"08/15/2024 13:08",https://www.instagram.com/reel/C-tBShrPFPl/,"IG reel",,Lifetime,8144,7380,2,,95,5,6,
17963862374788469,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","🎨📱 Oops I did it again! 

Add more pieces to your gallery wall with shipping worldwide! 

Shop for your accidental treasure today. 🖼️",22,"08/13/2024 12:08",https://www.instagram.com/reel/C-n0el-P5j0/,"IG reel",,Lifetime,13096,12339,4,1,266,8,27,
17996092433655020,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","All the love in the comments help us reach more art lovers! 💖 

We appreciate every like, share, comment and save 🫶🏽

You can shop at jeanpierreweill.com. We ship worldwide. 🌎",37,"08/12/2024 10:08",https://www.instagram.com/reel/C-k-doAR71T/,"IG reel",,Lifetime,45877,43444,162,19,4795,177,383,
18102117559389665,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","🎨 Discover Israel’s history through art.

Every piece tells a story, and now you can bring these stories home. 📖 

Explore our collection at jeanpierreweill.com and enjoy free worldwide shipping! 🌍✨",13,"08/08/2024 11:08",https://www.instagram.com/reel/C-a3lZ5v2DF/,"IG reel",,Lifetime,6011,5738,23,1,383,5,37,
18063271138559069,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Hey artists, what fuels your soul? 🪄✨",7,"08/06/2024 10:08",https://www.instagram.com/reel/C-Vm5hpRbGI/,"IG reel",,Lifetime,18283,17236,15,2,489,17,46,
17870342718095843,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","This season’s favorites 🎨✨ 

From vibrant colors to intricate details, each piece tells a unique story. 🌍 We ship internationally, so you can bring a piece of magic home. 🪄 🎨",13,"08/05/2024 08:08",https://www.instagram.com/reel/C-Su_N8xyMC/,"IG reel",,Lifetime,12667,11454,12,3,475,13,65,
18452655370018658,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Watch Davida explain how we secure each piece. 🎨✈️ Shipping art worldwide for free! 🌍  Visit jeanpierreweill.com to shop.",89,"08/02/2024 15:08",https://www.instagram.com/reel/C-LxieuPoXR/,"IG reel",,Lifetime,14403,13046,50,1,654,23,151,
18057954040711593,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Step into a memory of Paris with Café des Fleurs.

Watch as the painting brings to life a charming coffee shop scene, where spring flowers bloom and a young girl’s joy fills the air. 🍷🌸✨ 

Visit jeanpierreweill.com to shop and more.",15,"07/31/2024 12:07",https://www.instagram.com/reel/C-GS-O8vcAB/,"IG reel",,Lifetime,24892,23326,66,8,1299,18,211,
18032574452501703,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Why do we love being 3D glass painting artists? 🎨✨ 

From the depth and unique perspectives to the play of light, each piece offers something special. But we want to hear from you!

What’s your favorite thing about our art? Let us know in the comments! 👇❤️",13,"07/30/2024 09:07",https://www.instagram.com/reel/C-DcFwFxVe2/,"IG reel",,Lifetime,10274,9445,4,2,253,16,26,
18071779609530203,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Visit jeanpierreweill.com to find your next masterpiece. And yes, we ship internationally! 🌍✈️",15,"07/25/2024 13:07",https://www.instagram.com/reel/C929tfIPK9g/,"IG reel",,Lifetime,11965,10857,3,1,329,8,18,
18094517230452236,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","What makes you dance? 🎨🕺To us, it’s the art!",18,"07/24/2024 06:07",https://www.instagram.com/reel/C9zsvX6xSvX/,"IG reel",,Lifetime,10709,9933,4,2,636,23,31,
17932981763886823,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","When you choose a Jean Pierre Weill painting, you get more than just art. Enjoy these special touches that make each Petite and Classique piece truly unique:

🎁 A beautiful custom-designed gift box - the perfect presentation for a heartwarming gift.
📝 A personal note from you to your loved one, hand-written and enclosed with the painting upon request.
🖌️ A hand-written personalization inside the painting of up to 10 characters - your initials, name, or a meaningful date, FREE.

Add a touch of love and personality to your art collection! 💖✨

Visit our website: jeanpierreweill.com",58,"07/23/2024 07:07",https://www.instagram.com/reel/C9xJhAhRwVR/,"IG reel",,Lifetime,34636,33387,171,16,1899,35,497,
18056057719637448,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","When you want to hold onto your summer vacations forever... 🌞 What’s your favorite summer memory? Share below! ☀️💭",22,"07/18/2024 13:07",https://www.instagram.com/reel/C9lAb32vaPZ/,"IG reel",,Lifetime,13453,13281,35,13,1302,33,164,
17954398400799883,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Step into the vibrant world of ‘Soul Train’ by Jean Pierre Weill 🚂💫 

Discover the beauty of diversity and connection in humanity through vivid colors and intertwining stories. 🎨✨ Every detail tells a tale – from a loving elderly couple to whimsical encounters. 🌟 

What was your first impression? 🗽🎶",30,"07/16/2024 12:07",https://www.instagram.com/reel/C9fvKESvMRA/,"IG reel",,Lifetime,46175,46175,144,29,2639,70,242,
18018683678149789,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","🎨✨ Witness art come alive! Watch as we bring Jerusalem to life with ‘Ahava: Using color, light, space, and shadow,

According to legend, this site connects Heaven and Earth. 🌌

✨ Can you guess how long it took us to create this masterpiece? Comment below! ⏳🖌️",43,"07/15/2024 12:07",https://www.instagram.com/reel/C9dFIvbvWtw/,"IG reel",,Lifetime,34235,30409,204,29,2022,69,346,
18108541330394940,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","✨ This one is for the book lovers 📚✨ Tag a friend who would adore these pieces!

#bookstagram #bookgirlies #romantasybooks
#booklover #booktok #bookish #bookcommunity #readingtime",20,"07/11/2024 13:07",https://www.instagram.com/reel/C9S76w1vsQt/,"IG reel",,Lifetime,31209,29553,137,29,2609,67,359,
18122832094370828,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Every detail counts. ✨🎨 What’s your favorite thing about our paintings?",24,"07/10/2024 14:07",https://www.instagram.com/reel/C9Qf4lgPUky/,"IG reel",,Lifetime,10242,9224,6,3,271,13,23,
17890610484048777,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","I’m Davida, studio manager 🎨 Where are you following from? 👀",8,"07/08/2024 11:07",https://www.instagram.com/reel/C9K-ZjgxP5N/,"IG reel",,Lifetime,19867,18832,0,5,436,53,23,
18313854241196495,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Fellow artists, what do you look like when you’re in the zone?! 😏 🎨",9,"07/05/2024 10:07",https://www.instagram.com/reel/C9DLN1FxsEi/,"IG reel",,Lifetime,22372,21132,18,2,897,11,52,
18035528239852742,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Where fairy tales meet timeless artistry. 🎨✨ Rediscover the magic of friendship in unexpected places with Jean Pierre Weill’s ‘Red Riding Hood’.",12,"07/03/2024 10:07",https://www.instagram.com/reel/C8-Dl07x2Bp/,"IG reel",,Lifetime,18158,16420,36,9,843,23,140,
